sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Czerniak et al 2016|2016|C14|LOD-164|5210|180||Brześć Kujawski 3|Siedlung|"Unidentified charcoal from a lens in
pit 775, at a depth of 2.0 m"|Neolithikum|Late Lengyel III A|Getreide|Linse|Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Bln-1810|5680|60||Krusza Zamkowa 3|Siedlung|Pit 311|Neolithikum|BKK / Late Lengyel IIB|Holzkohle||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Bln-1809|5565|100||Krusza Zamkowa 3|Siedlung|Pit 576|Neolithikum|BKK / Late Lengyel IIB|unbest. Material||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Bln-1811|5330|65||Krusza Zamkowa 3|Gräberfeld|Grave 392|Neolithikum|BKK / Late Lengyel IIIA|Knochen|Mensch|Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-42012|5715|35||Kruszynek 6|Siedlung|cellar pit B16 inside house|Neolithikum|BKK / Late Lengyel IIB|Knochen||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-42023|5440|35||Kruszynek 6|Siedlung|cellar pit E23 inside house|Neolithikum|BKK / Late Lengyel IIB|Knochen||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-42013|5410|30||Kruszynek 6|Siedlung|cellar pit B18 inside house|Neolithikum|BKK / Late Lengyel IIIA|Knochen||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-42014|5460|35||Kruszynek 6|Siedlung|cellar pit B59 inside house|Neolithikum|BKK / Late Lengyel IIIA|Knochen||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-42015|5385|35||Kruszynek 6|Siedlung|cellar pit B83 inside house|Neolithikum|BKK / Late Lengyel IIIA|Knochen||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-42016|5420|35||Kruszynek 6|Siedlung|cellar pit B153 inside house|Neolithikum|BKK / Late Lengyel III A?|Knochen||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-42021|5420|35||Kruszynek 6|Siedlung|pit C69|Neolithikum|BKK / Late Lengyel IIIA|Knochen||Poland|||Czerniak 1980|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|GrN-10771|5310|40||Lojewo 1|Siedlung|pit 11 |Neolithikum|BKK / Late Lengyel IIIA|Knochen||Poland|||Czerniak 1994|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-1006|5310|40||Miechowice 4|Siedlung|Pit 19|Neolithikum|BKK / Late Lengyel IIB|Holzkohle||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-1011|5610|60||Miechowice 4|Siedlung|pit 19a|Neolithikum|BKK / Late Lengyel IIB|Holzkohle||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-1017|5420|60||Miechowice 4a|Siedlung|loam pit 3|Neolithikum|BKK / Late Lengyel IIB|Holzkohle||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-1016|5190|60||Miechowice 4a|Siedlung|Pit 4|Neolithikum|BKK / Late Lengyel IIIA|Holzkohle||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-995|5580|60||Osłonki 1|Siedlung|Pit 10, A niche|Neolithikum|BKK / Late Lengyel IIB|unbest. Material||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-1002|5450|60||Osłonki 1|Siedlung|loam pit 3, part of A/93|Neolithikum|BKK / Late Lengyel IIIA|Holzkohle||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-1003|5300|60||Osłonki 1|Siedlung|loam pit 3, part of B/93|Neolithikum|BKK / Late Lengyel IIIA|Holzkohle||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|LOD-999|5610|60||Osłonki 1|Siedlung|Pit 208|Neolithikum|BKK / Late Lengyel IIIA|unbest. Material||Poland|||Grygiel 2008|zitiert nach Czerniak 2016
Czerniak et al 2016|2016|C14|Poz-43965|5330|40||Zelgno|Siedlung|cellar pit A96 inside house|Neolithikum|BKK / Late Lengyel IIB|Knochen||Poland|||Czerniak et al. 2016|Czerniak unpublished report for Institute of Archeology and Ethnology University of Gdansk, Czerniak et al 2016
